"hotel","total_of_special_requests","n_reserves","cancelades","taxa_cancelacio"
"City Hotel",0,47249,26255,0.555673135939385
"City Hotel",1,21079,4692,0.222591204516343
"City Hotel",2,8007,1724,0.215311602347946
"City Hotel",3,1542,276,0.178988326848249
"City Hotel",4,182,20,0.10989010989011
"City Hotel",5,26,1,0.0384615384615385
"Resort Hotel",0,21873,7148,0.326795592739908
"Resort Hotel",1,11636,2583,0.221983499484359
"Resort Hotel",2,4747,1124,0.236781124921003
"Resort Hotel",3,894,166,0.185682326621924
"Resort Hotel",4,142,15,0.105633802816901
"Resort Hotel",5,14,1,0.0714285714285714
NA,NA,4,NA,NA
