hotel,lead_group,cancel_rate,n_reserves
City Hotel,1 mes,0.22413950100163904,21964
City Hotel,2 mesos,0.39135533590216115,11938
City Hotel,3 mesos,0.41768190454901083,8947
City Hotel,4 mesos,0.4649535853625723,7433
City Hotel,5 mesos,0.44851341551849166,5516
City Hotel,6 mesos,0.5330514988470407,5204
City Hotel,7 mesos,0.49288451012588946,3654
City Hotel,8 mesos,0.5071485305798252,2518
City Hotel,9 mesos,0.5931326434619003,2126
City Hotel,10 mesos,0.7310891089108911,2525
City Hotel,11 mesos,0.757734412184674,2101
City Hotel,12 mesos,0.8250388802488335,1286
City Hotel,>1 any,0.7288548555516882,2873
Resort Hotel,1 mes,0.12874128741287413,14634
Resort Hotel,2 mesos,0.30631516820775134,5083
Resort Hotel,3 mesos,0.3547948926922032,3681
Resort Hotel,4 mesos,0.3867514218802275,2989
Resort Hotel,5 mesos,0.4128878281622912,2514
Resort Hotel,6 mesos,0.3268365817091454,2668
Resort Hotel,7 mesos,0.37109375,2048
Resort Hotel,8 mesos,0.4220032840722496,1827
Resort Hotel,9 mesos,0.48604651162790696,1290
Resort Hotel,10 mesos,0.39048672566371684,904
Resort Hotel,11 mesos,0.4889240506329114,632
Resort Hotel,12 mesos,0.39094650205761317,486
Resort Hotel,>1 any,0.3890909090909091,550
NA,NA,NA,4
